emoji,label,word_count,fit3_count,fit2_count,fit1_count,words
🚫,prohibited,380,6,107,267,ban;forbid;prohibit;reject;revoke;veto;abolish;abolition;abort;absent;abstain;abuse;abusive;antisocial;avoid;balk;blockage;bogus;boycott;censor;censorship;cheat;closed;confiscate;confiscation;contraband;contradict;contradiction;contradictory;counterfeit;deprive;deprived;disable;disallow;disqualify;embargo;eradicate;eradication;eschew;exclude;excluding;exclusion;exempt;exemption;expel;expulsion;forbidden;foul;illegal;illicit;impossibility;impossible;impractical;improper;inability;inaccessible;inappropriate;incapable;incompatible;inedible;ineffective;ineffectual;ineligible;infertile;infertility;inflexible;infraction;infringe;infringement;inhibit;inhibition;intolerance;intolerant;irreversible;lawless;misuse;never;nonalcoholic;nondairy;nonfat;not;ostracism;ostracize;overridden;override;overrode;overrule;overstep;prevent;prevention;prohibition;refuse;rejection;repeal;repel;restrict;restricted;restriction;revocation;rid;sanction;segregate;segregation;strict;taboo;thwart;unable;unacceptable;unarmed;unlawful;useless;xenophobia;xenophobic;abortion;abortive;abrogate;abrogation;absence;absentee;absenteeism;abstemious;abstention;abstinence;abstinent;alienate;amoral;amorality;anaerobic;anathema;annul;annulment;antiabortion;apartheid;apolitical;asexual;atheism;atheist;atheistic;averse;aversion;avoidable;avoidance;balky;bare;barring;bastardize;cannot;celibacy;celibate;childless;con;contravene;countermand;cunt;debar;defile;defilement;deprivation;devoid;dis;efface;eunuch;except;excepting;extraneous;flout;forbad;forbade;forbear;forbidding;forbore;forborne;forgo;forgone;graceless;groundless;heretical;homophobia;illegality;illiberal;impracticable;impracticality;impropriety;inaccessibility;inadmissible;inadvisable;inapplicable;incapacity;incest;incestuous;incomparable;incompatibility;incurable;indivisible;ineligibility;inexcusable;inexpedient;infidel;inflexibility;inhibited;inoperable;inoperative;insolubility;insoluble;insuperable;insupportable;interdict;interdiction;intolerable;intransigence;intransigent;irreconcilable;irrecoverable;irredeemable;irregardless;irreligious;irremediable;irrespective;irretrievable;irrevocable;kibosh;misconduct;misstep;neither;nigger;nonaligned;nonconductor;noncooperation;nonessential;nonevent;nonexempt;nonfatal;nonflammable;noninterference;nonintervention;nonnegotiable;nonpayment;nonpolitical;nonprescription;nonrefillable;nonrefundable;nonresident;nonrestrictive;nonscheduled;nonsectarian;nonskid;nonstandard;nonstop;nonsupport;nontaxable;nontransferable;nonunion;nonvoting;obviate;occlude;occlusion;odorless;pariah;penalize;peremptory;preclude;preventable;profanation;prohibitionist;prohibitive;proscribe;proscription;quash;quell;racism;racist;rescind;restrictive;scupper;secular;secularism;secularization;secularize;segregationist;sexism;sexist;sexless;sodomite;sodomy;stateless;sterility;sugarless;topless;totalitarian;totalitarianism;transgress;transgression;truancy;truant;unaccountable;unaccustomed;unacquainted;unadorned;unaffected;unapproachable;unattached;unattended;unavailing;unbecoming;unbelief;unbeliever;unbending;unceremonious;uncommitted;uncompromising;unconvincing;unconvincingly;undemocratic;undependable;underage;understaffed;undeserving;undesirable;undue;unduly;uneducated;unemployable;unfit;unfounded;unfurnished;unguarded;unimportant;unlike;unlisted;unmanly;unmanned;unmindful;unnatural;unnecessary;unneeded;unoccupied;unofficial;unpatriotic;unplanned;unprepared;unpreventable;unprofessional;unprovoked;unqualified;unready;unreasoning;unregistered;unregulated;unreliable;unreserved;unsanctioned;unscientific;unskilled;unskillful;unsophisticated;unsound;unsubstantial;unsuitable;unsupervised;untapped;untaught;untenable;unthinking;untouchable;untouched;untoward;untreated;untried;untutored;unused;unvarnished;unwarranted;unwonted;unworthy;unyielding;valueless;waive;weaponless;whore;wingless
✅️,check mark button,277,5,81,191,accept;approve;correct;ready;yes;acceptable;acceptance;accomplish;acknowledge;advantage;affirm;affirmation;affirmative;allow;appropriate;authentic;available;certain;certainty;check;competent;complete;completion;conclusive;concur;confirm;confirmation;confirmed;consent;corroborate;decide;decision;done;effective;eligible;essential;exonerate;exoneration;fact;factual;faultless;finalize;fulfill;guarantee;infallible;justification;justify;necessary;normal;obey;optimal;optimum;pass;permission;practical;productive;proof;prove;proven;qualified;qualify;real;reasonable;relevant;reliable;resolve;responsible;rightful;satisfactory;seamless;select;selection;simple;suitable;true;truth;truthful;understood;valid;validate;validation;verification;verify;yea;yeah;yep;abide;accede;acceptability;achievable;acknowledgement;acknowledgment;actual;actuality;actualization;actualize;advantageous;allowable;already;applicability;applicable;applied;apposite;appreciable;apt;aright;attest;authenticate;authenticity;authorization;authorize;availability;been;capability;capable;certainly;certitude;checked;clincher;commit;competence;competency;compliance;compliant;comply;concurrence;condone;conform;corroboration;corroborative;credibility;credible;creditable;decided;decisive;definite;definitive;did;do;doable;does;doubtless;duly;dutiful;effectual;efficacious;efficacy;effortless;eligibility;enable;ensure;fruition;fulfil;fulfillment;guaranty;imprimatur;incontestable;indeed;indisputable;indubitable;infallibility;intact;irrefutable;irreproachable;just;justifiable;legit;legitimacy;legitimate;legitimize;let;licit;necessarily;nonhazardous;nonmalignant;normalcy;normality;normalization;normalize;normally;operable;opportune;opt;ordinarily;own;passable;permissible;permissive;possible;practicability;practicable;practicality;practically;practiced;pragmatic;pragmatism;pragmatist;prerequisite;provable;qualifier;quite;readily;relevance;relevancy;reliability;resolved;respective;respectively;salutary;seemly;selective;selectivity;set;simplicity;simplification;simplify;simplistic;simply;substantiate;substantiation;suffice;sufficiency;sufficient;suitability;supportable;tenability;tenable;thorough;tried;truism;truly;typical;typify;unadulterated;unbroken;unchecked;uncontested;undamaged;undeniable;undergone;understandable;undertake;undertaken;undertook;undiminished;undoubted;unequivocal;unexceptionable;unfailing;unfeigned;unhesitating;unhesitatingly;unhindered;unimpeachable;unmistakable;unmitigated;unobjectionable;unquestionable;unquestioned;unquestioning;unquestioningly;unscathed;usable;useable;usual;validity;veracious;veracity;verifiable;verily;veritable;verity;viability;viable;vindicate;vindication;workable
🗣️,speaking head,222,7,79,136,argue;discuss;discussion;speak;speech;talk;voice;accent;argument;articulate;babble;bicker;bilingual;blab;brag;debate;dialect;dictate;dictation;diction;discourse;dispute;divulge;eloquent;filibuster;fluency;fluent;forum;garrulous;gibberish;gossip;harangue;head;hoarse;inform;interpret;interpretation;jabber;language;laryngitis;lingo;linguist;loquacious;narrate;narration;opinionated;orate;oration;orator;oratory;palaver;parley;persuade;persuasion;persuasive;pronounce;pronunciation;recitation;recite;remark;retort;rhetoric;rhetorical;rhetorician;rumor;slander;slang;sociable;social;socialize;soliloquy;spoke;spoken;squabble;stutter;symposium;talkative;tell;testify;testimony;throat;utter;utterance;verbal;verbalize;yammer;admit;admittedly;argot;argumentation;articulation;aspersion;assert;assertion;aver;avow;avowal;avowed;bade;bespeak;blandishment;blarney;blaspheme;blasphemous;blasphemy;bombast;bombastic;braggart;broach;cajole;calumniate;calumny;candor;cant;cavil;coax;cockney;debrief;debriefing;defamation;defamatory;defame;dialectal;dialectic;discursive;disputant;disputation;disputatious;drawl;drily;drivel;elocution;elocutionist;eloquence;enunciate;enunciation;forsooth;frank;gab;gabble;gabby;garrulity;gibber;gobbledegook;gobbledygook;gossipy;grandiloquence;grandiloquent;guttural;hubbub;hullabaloo;hyperbole;idiom;idiomatic;inflect;inflection;inflectional;intelligibility;intelligible;interpretative;interpretive;inveigh;kibitz;kibitzer;larynges;larynx;linguistic;linguistics;loquacity;malapropism;maunder;metaphor;metaphorical;mispronounce;monolingual;multilingual;mutter;obloquy;opine;oratorical;orotund;parlance;patois;patter;polyglot;pontificate;profess;pronounceable;propound;quibble;raconteur;rebut;rebuttal;refutation;refute;regale;rejoinder;remonstrance;remonstrate;scurrilous;shibboleth;slanderous;slangy;slur;sociability;socialization;soliloquize;sophistry;spiel;splutter;spoonerism;stammer;symposia;tattle;telling;throaty;told;twaddle;vernacular;voiced;volubility;voluble
🤝,handshake,219,10,106,103,agree;agreement;friend;friendship;meet;meeting;negotiate;negotiation;reunion;reunite;accomplice;accord;acquaintance;agreeable;alliance;ally;amigo;assist;assistance;associate;association;befriend;camaraderie;coalition;coexist;collaborate;collaboration;colleague;companion;companionship;compromise;comrade;comradeship;conciliation;concord;confederacy;confederate;confederation;consensual;consensus;consortium;contribute;contribution;convene;cooperate;cooperation;cooperative;deal;detente;diplomacy;diplomatic;empathy;espousal;espouse;facilitate;facilitation;fellowship;forgive;helpful;hire;honest;honesty;inclusive;interact;interaction;interactive;introduce;introduction;liaison;loyal;loyalty;mate;mediate;mediation;merger;mutual;negotiable;nonprofit;oblige;obliging;pact;partner;partnership;philanthropic;philanthropist;philanthropy;placate;pledge;promise;rapport;rapprochement;reconcile;reconciliation;rely;reunification;reunify;shake;share;sincere;sponsor;sponsorship;support;supportive;symbiosis;symbiotic;together;tolerance;tolerant;trust;unanimity;unanimous;unify;union;unite;united;unity;abet;accommodating;accordance;acquaint;akin;allied;amends;amity;appease;appeasement;assurance;assure;behalf;bipartisan;bloc;buddy;cahoots;chummy;civil;civility;client;clientele;coexistence;collusion;collusive;companionable;compatibility;compatriot;complicity;concerted;conciliate;conciliatory;concordance;concordant;connivance;consortia;contributory;cooperatively;cordiality;cosponsor;counteroffer;counterpart;credence;crony;dealing;depend;dependability;dependable;dependence;dependency;desegregate;desegregation;dicker;empathize;encounter;entente;entrust;fealty;federate;forgave;forgivable;forgiven;forgiving;humanitarian;humanitarianism;intercede;intermediary;interpersonal;introductory;loyalist;met;multilateral;pal;patron;patronage;platonic;quits;reconcilable;rejoin;relate;reliance;reliant;requital;requite;sincerity;surety;sworn;syndicate;synergism;synergistic;synergy;tactful;tolerate;toleration;transact;trustee;trusteeship;trustful;trusting;underling;unification;unionize;welfare
⚖️,balance scale,210,11,92,107,attorney;balance;judge;jury;justice;law;lawyer;scale;verdict;weigh;weight;acquit;acquittal;adjudicate;arbiter;arbitrate;arbitration;arbitrator;bail;bailiff;barrister;bias;compare;comparison;contrast;conviction;counsel;counsellor;counselor;counterbalance;court;defendant;disciplinary;discrepancy;discriminate;discrimination;disparity;egalitarian;equality;equilibrium;equity;ethic;ethical;ethics;fulcrum;gram;imbalance;impartial;impartiality;impeach;impeachment;indict;indictment;inequality;inequity;injunction;injustice;judgement;judgment;judgmental;judicial;judiciary;jurisdiction;juror;kilogram;lawful;legal;legality;legalize;litigate;litigation;magistrate;malpractice;misdemeanor;morality;neutralize;ounce;overweight;paralegal;parity;penalty;plaintiff;precedent;prejudice;prejudiced;probation;proportion;prosecute;prosecution;reckoning;retrial;retribution;ruling;solicitor;stabilize;sue;teeter;trial;tribunal;unbalanced;unbiased;unfair;unjust;accused;adjudge;adjudication;admissibility;admissible;antitheses;antithesis;antithetical;antitrust;appellate;arraign;arraignment;avoirdupois;brinkmanship;centigram;centrist;coequal;commensurate;comparable;comparative;complainant;culpability;culpable;decriminalize;dichotomy;disbar;disbarment;discriminatory;disproportion;egalitarianism;equability;equable;equalization;equalize;equitable;extenuate;extenuation;fulcra;gramme;heft;immoderate;incommensurate;indictable;inequitable;inquest;inquisition;judicious;juridical;jurisprudence;jurist;kilo;legalism;legalistic;legalization;leverage;litigant;litigious;magisterial;malfeasance;mete;militate;milligram;misjudge;misjudgment;misrule;mistrial;moderation;neutralization;nonpartisan;nonsexist;ombudsman;overbalance;overcompensate;partiality;penal;penology;pled;prejudge;prejudgment;prejudicial;preponderance;preponderant;probate;probationary;probationer;proportional;proportionate;punishable;punitive;receivership;recognizance;recourse;redress;remand;retributive;stability;stabilization;stricture;tantamount;than;ton;tonnage;tort;tribune;troy;unequal;weighty
➡️,right arrow,164,1,29,134,direction;advance;ahead;consequence;continuation;continue;direct;directional;extend;extension;follow;forward;forwards;front;horizontal;indent;middle;movement;next;onward;onwards;penetrate;proceed;result;right;straight;successor;thrust;transfer;vector;abreast;abut;accordingly;albeit;almost;along;amid;amidst;among;amongst;anterior;aside;because;beside;beyond;budge;causal;causality;causation;causative;cause;chevron;consequent;consequential;consequently;continua;continuum;corollary;corresponding;cusp;derivation;derivative;derive;determinant;determinate;directly;eastward;eastwards;effect;elicit;elongate;elongation;endways;ensue;entail;facing;farther;farthest;following;for;forth;forwent;fro;from;further;furtherance;furthest;heading;hence;hither;impel;implication;in;indentation;induce;into;jut;latter;leading;led;mainly;mid;midst;narrow;nevertheless;nonetheless;oncoming;onto;outer;outward;outwardly;outwards;oversimplify;penetrable;penetrating;penetration;precursor;predispose;predisposition;preexist;proceeding;refer;referral;resultant;rightist;roundly;serried;side;signify;so;stead;subsequent;succession;successive;taut;then;thence;thither;tho;though;through;thru;thus;to;toward;towards;transferable;transference;transitive;transmigrate;transmigration;unchanged;undergo;underway;underwent;unilateral;uninterrupted;unstuck;unswerving;unto;unvarying;verge;via;way
🎭️,performing arts,158,14,88,56,actor;actress;comedy;costume;drama;entertainer;entertainment;masquerade;mime;opera;pretend;stage;theater;theatre;act;acting;alias;audition;auditorium;behavior;character;charade;culture;dramatic;dramatics;dramatist;dramatization;dramatize;entertain;entertaining;expressive;extracurricular;fake;farce;farcical;feign;fictitious;genre;guise;harlequin;histrionic;histrionics;hoax;hypocrisy;hypocrite;hypocritical;imitate;imitation;impersonate;impersonation;imposter;impostor;impression;insincere;insincerity;masque;melodrama;mimic;mimicry;mood;operatic;operetta;overplay;pantomime;parody;perform;performance;phony;play;ploy;portray;portrayal;pretense;pretension;pretentious;reenactment;rehearsal;rehearse;rendition;repertoire;representation;reveal;revue;role;ruse;satire;satirical;satirist;satirize;sham;show;skit;spoof;subterfuge;swindle;theatrical;thespian;troupe;understudy;unmask;vaudeville;ventriloquist;affect;affectation;artifice;behavioral;bravura;burlesque;cabaret;campy;caper;caprice;capricious;cast;chicanery;cultural;cultured;dissemble;dissimulate;dissimulation;dupe;duplicity;emote;entertainingly;factitious;feint;imitative;imposture;impresario;ingenue;lampoon;mannerism;melodramatic;mimetic;miscast;mummer;ostensible;outre;panoply;personification;personify;phoney;poseur;pretext;proscenium;repertory;represent;semblance;shill;symbolism;tragedian;travesty;unconventional;underplay;unrehearsed;ventriloquism;verisimilitude;wannabe
🧠,brain,154,8,63,83,brain;intellect;intelligence;intelligent;memory;neuron;psychology;remember;acumen;amnesia;amnesiac;aptitude;astute;axon;brainy;cerebellum;cerebral;cerebrum;clever;cognition;cognitive;comprehend;comprehension;concentrate;concentrated;concentration;conscious;consciousness;cortex;dementia;genius;intellectual;knowledge;memorize;mental;mentality;mind;neural;neurological;neurologist;neurology;omniscient;philosopher;philosophy;profound;psyche;psychiatrist;psychiatry;psychological;psychologist;psychosis;rational;rationale;reason;reasoning;recall;recollect;recollection;reminisce;reminiscence;sane;sanity;sense;sensible;shrewd;smart;subconscious;synapse;thalamus;understand;understanding;brainless;cephalic;cerebella;cerebra;cognizance;cognizant;comprehensible;cortical;cortices;cranial;deductive;dendrite;deprogram;encephalitis;epilepsy;epileptic;freethinker;frontal;ganglia;ganglion;heuristic;hypothalamus;inculcate;inculcation;indoctrinate;indoctrination;informed;intelligentsia;internalize;ken;knowledgeable;lobotomy;logician;maven;medulla;medullae;memorization;minded;mnemonic;noggin;omniscience;pate;personality;perspicacious;perspicacity;philosophic;philosophical;philosophize;pituitary;polymath;profundity;psych;psychiatric;psychoses;psychosomatic;rationalism;rationalist;rationality;rationalization;rationalize;reminiscent;retention;retentive;sapience;sapient;savant;savvy;schizoid;schizophrenia;schizophrenic;sensibility;sentient;subliminal;superego;thalami;theoretical;theoretician;theorist;understandingly;unlearn;visualization;visualize;volition
👑,crown,153,10,69,74,crown;diadem;emperor;monarch;royal;royalty;scepter;sceptre;throne;tiara;abdicate;abdication;almighty;aristocracy;aristocrat;aristocratic;autocrat;baroness;chief;chieftain;coronation;coronet;czar;czarina;despot;dethrone;dictator;dictatorial;dictatorship;dominance;dominant;dominate;domination;dominion;duke;dynasty;earl;highness;imperial;leader;leadership;maharaja;maharajah;maharanee;maharani;majestic;majesty;monarchy;nobility;noble;oligarchy;overlord;overthrew;overthrow;overthrown;pageant;pageantry;pontiff;pope;prerogative;princely;regal;regalia;regent;reign;royalist;shah;sovereign;sovereignty;superior;supremacy;supreme;tsar;tyrannical;tyrannize;tyranny;tyrant;tzar;usurp;absolutism;aggrandize;aggrandizement;archduke;autocracy;autocratic;baronet;chiefly;circlet;concubine;consort;corona;courtly;depose;despotic;despotism;dethronement;domineer;domineering;ducal;dynastic;eminence;emir;emirate;ennoble;enthrone;grandee;harem;hegemony;heir;heiress;imperialism;imperialist;imperialistic;imperious;investiture;khan;kingship;liege;marchioness;marquess;marquis;marquise;megalomania;megalomaniac;monarchic;monarchical;monarchism;monarchist;oligarch;patrician;peerage;plutocracy;plutocrat;plutocratic;potentate;predominance;predominant;predominate;preeminence;preeminent;raja;rajah;regency;sachem;sire;superiority;supremacist;tyrannous;usurpation;viceroy;viscount;viscountess;vizier
📜,scroll,153,6,60,87,certificate;manuscript;petition;poem;poetry;scroll;affidavit;amendment;certification;certify;citation;clause;commandment;commission;constitution;constitutional;contract;contractual;covenant;creed;cuneiform;declaration;decree;deed;dictum;dissertation;doctrine;dogma;edict;executor;historian;history;legislation;license;lore;mandate;manifest;manifesto;maxim;motto;myth;notary;ordinance;papyrus;parchment;patent;permit;poetic;policy;proclamation;proverb;regulation;resolution;script;sonnet;stanza;statute;subpoena;summons;testament;treaty;vellum;verse;warrant;warranty;will;accredit;accreditation;adage;alibi;annals;behest;bequeath;bylaw;canon;canonical;canto;certifiable;cession;charter;cite;cloture;codicil;codification;codify;communique;constitute;couplet;credo;declarative;deposition;deregulate;deregulation;dicta;disinherit;disquisition;doctrinaire;doctrinal;dogmatic;dogmatism;dogmatist;enact;enactment;encyclical;enjoin;epigram;epigrammatic;ethos;extant;fiat;illegitimacy;illegitimate;immemorial;indemnification;indemnify;indemnity;indenture;intestate;issuance;legalese;legate;legatee;legislate;licensee;lien;limerick;litany;naturalization;naturalize;notarize;ode;ownership;papyri;pedigree;poesy;poetical;precept;principle;provenance;proverbial;proviso;quatrain;regulatory;scrip;shalt;statutory;tenet;tenure;testate;testimonial;writ;ye;yore
